NUM_THREADS,TICKS_PER_SLOT,RECV_BATCH_MAX_CPU,ITER_BATCH_SIZE,HASHES_PER_SECOND,TICKS_PER_SECOND,AVERAGE_TPS_BENCH1,AVERAGE_DROPRATE_BENCH1,REAL_TIME_RATE_BENCH1,USER_TIME_RATE_BENCH1,SYS_TIME_RATE_BENCH1
4.0,65.0,883.0,1077.0,2257576.0,180.0,26.258598,0.0,60268,419,574
4.0,68.0,911.0,983.0,2281818.0,154.0,24.449894,0.0,58638,371,589
4.0,62.0,998.0,862.0,2106061.0,141.0,28.002668,0.0,61774,440,605
4.0,54.0,874.0,950.0,1972727.0,179.0,27.45963,0.0,59186,491,542
4.0,57.0,1023.0,868.0,2300000.0,160.0,24.426935,0.0,59316,404,530
4.0,66.0,1020.0,1068.0,1966667.0,175.0,27.463552,0.0,59915,432,561
4.0,73.0,1144.0,941.0,1857576.0,184.0,27.560648,0.0,59739,426,497
5.0,62.0,1095.0,859.0,1978788.0,146.0,24.410677,0.0,58168,385,594
5.0,67.0,850.0,935.0,1869697.0,156.0,24.407213,0.0,58925,517,665
5.0,57.0,895.0,995.0,1803030.0,180.0,27.540653,0.0,59039,479,603
5.0,71.0,1114.0,1023.0,2148485.0,159.0,27.547329,0.0,59263,461,619
5.0,66.0,1005.0,1047.0,1790909.0,148.0,27.048315,0.0,60853,436,660
5.0,66.0,902.0,1114.0,1766667.0,156.0,30.525475,0.0,62620,447,640
5.0,66.0,992.0,980.0,1990909.0,146.0,27.806545,0.0,60734,449,608
5.0,55.0,959.0,1041.0,1924242.0,143.0,27.479313,0.0,60707,481,647
5.0,70.0,974.0,992.0,2245455.0,137.0,29.976542,0.0,60504,435,613
5.0,58.0,859.0,1117.0,1724242.0,139.0,28.098013,0.0,58599,458,675
5.0,59.0,935.0,1095.0,1706061.0,176.0,27.52629,0.0,60781,452,687
5.0,53.0,892.0,1074.0,2184848.0,151.0,27.413536,0.0,61622,509,663
5.0,71.0,932.0,1032.0,2154545.0,162.0,27.056463,0.0,61455,436,679
5.0,72.0,1038.0,889.0,1960606.0,175.0,28.251278,0.0,66142,443,609
5.0,70.0,1138.0,892.0,2087879.0,168.0,27.119656,0.0,60682,495,624
5.0,63.0,941.0,898.0,2081818.0,153.0,29.734772,0.0,70420,542,763
5.0,64.0,1123.0,1150.0,1833333.0,177.0,26.541811,0.0,60459,421,584
5.0,54.0,923.0,947.0,1784848.0,150.0,27.94623,0.0,60323,469,639
5.0,73.0,1014.0,865.0,1936364.0,167.0,27.715767,0.0,59941,496,743
5.0,69.0,965.0,1014.0,1736364.0,184.0,28.6388,0.0,59339,440,660
5.0,63.0,989.0,929.0,2051515.0,147.0,24.442295,0.0,58597,471,538
5.0,59.0,1053.0,895.0,1760606.0,178.0,29.876831,0.0,56700,450,622
5.0,59.0,1071.0,1144.0,1772727.0,157.0,27.427223,0.0,59993,485,634
5.0,61.0,1129.0,1011.0,1809091.0,182.0,31.683458,0.0,59422,454,606
5.0,56.0,944.0,880.0,2003030.0,168.0,27.149336,0.0,60559,531,644
