NUM_THREADS,DEFAULT_TICKS_PER_SLOT,ITER_BATCH_SIZE,RECV_BATCH_MAX_CPU,DEFAULT_HASHES_PER_SECOND,DEFAULT_TICKS_PER_SECOND,AVERAGE_TPS,AVERAGE_DROPRATE
4.0,1022.0,1022.0,65.0,2045413.0,162.0,23.72514,0.0
4.0,1022.0,1022.0,65.0,2045413.0,162.0,23.583672,0.0
4.0,1022.0,1022.0,65.0,2045413.0,162.0,23.72712,0.0
4.0,1022.0,1022.0,65.0,2045413.0,162.0,23.586308,0.0
4.0,1022.0,1022.0,65.0,2045413.0,162.0,23.58793,0.0
4.0,1022.0,1022.0,65.0,2045413.0,162.0,23.584614,0.0
4.0,1022.0,1022.0,65.0,2045413.0,162.0,23.583813,0.0
4.0,1022.0,1022.0,65.0,2045413.0,162.0,23.728483,0.0
4.0,1022.0,1022.0,65.0,2045413.0,162.0,23.560417,0.0
4.0,1022.0,1022.0,65.0,2045413.0,162.0,23.586132,0.0
4.0,1028.0,1028.0,65.0,2058031.0,163.0,23.728424,0.0
4.0,1028.0,1028.0,65.0,2058031.0,163.0,23.585594,0.0
4.0,1028.0,1028.0,65.0,2058031.0,163.0,23.728241,0.0
4.0,1028.0,1028.0,65.0,2058031.0,163.0,23.586784,0.0
4.0,1028.0,1028.0,65.0,2058031.0,163.0,23.58616,0.0
4.0,1028.0,1028.0,65.0,2058031.0,163.0,23.587753,0.0
4.0,1028.0,1028.0,65.0,2058031.0,163.0,23.726105,0.0
4.0,1028.0,1028.0,65.0,2058031.0,163.0,23.584587,0.0
4.0,1028.0,1028.0,65.0,2058031.0,163.0,23.305128,0.0
4.0,1028.0,1028.0,65.0,2058031.0,163.0,23.558052,0.0
3.0,974.0,974.0,62.0,1949053.0,155.0,23.726164,0.0
3.0,974.0,974.0,62.0,1949053.0,155.0,23.725634,0.0
3.0,974.0,974.0,62.0,1949053.0,155.0,23.869541,0.0
3.0,974.0,974.0,62.0,1949053.0,155.0,23.724224,0.0
3.0,974.0,974.0,62.0,1949053.0,155.0,23.726393,0.0
3.0,974.0,974.0,62.0,1949053.0,155.0,23.726128,0.0
3.0,974.0,974.0,62.0,1949053.0,155.0,23.727077,0.0
3.0,974.0,974.0,62.0,1949053.0,155.0,23.586344,0.0
3.0,974.0,974.0,62.0,1949053.0,155.0,23.724255,0.0
3.0,974.0,974.0,62.0,1949053.0,155.0,23.585318,0.0
3.0,926.0,926.0,59.0,1854168.0,147.0,23.868223,0.0
3.0,926.0,926.0,59.0,1854168.0,147.0,23.86927,0.0
3.0,926.0,926.0,59.0,1854168.0,147.0,23.72566,0.0
3.0,926.0,926.0,59.0,1854168.0,147.0,23.727083,0.0
3.0,926.0,926.0,59.0,1854168.0,147.0,23.726284,0.0
3.0,926.0,926.0,59.0,1854168.0,147.0,23.725836,0.0
3.0,926.0,926.0,59.0,1854168.0,147.0,23.72561,0.0
3.0,926.0,926.0,59.0,1854168.0,147.0,23.72693,0.0
3.0,926.0,926.0,59.0,1854168.0,147.0,23.726433,0.0
3.0,926.0,926.0,59.0,1854168.0,147.0,23.725574,0.0
