ITER,NUM_THREADS,DEFAULT_TICKS_PER_SLOT,RECV_BATCH_MAX_CPU,ITER_BATCH_SIZE,DEFAULT_HASHES_PER_SECOND,DEFAULT_TICKS_PER_SECOND,AVERAGE_TPS_BENCH1,AVERAGE_DROPRATE_BENCH1,REAL_TIME_RATE_BENCH1,USER_TIME_RATE_BENCH1,SYS_TIME_RATE_BENCH1
0,3.0,58.0,1009.0,862.0,1797959.0,150.0,26.768726,0.0,14438,194,73
0,3.0,54.0,1095.0,911.0,2042857.0,160.0,23.805449,0.0,15526,196,85
0,3.0,65.0,942.0,991.0,1846939.0,144.0,25.26349,0.0,14848,245,39
0,3.0,64.0,1028.0,917.0,1773469.0,173.0,23.809238,0.0,15405,181,99
0,3.0,58.0,1021.0,893.0,2079592.0,181.0,23.808224,0.0,15472,184,84
0,3.0,59.0,1040.0,1003.0,2275510.0,158.0,23.236202,0.0,15344,261,76
0,3.0,72.0,997.0,979.0,1932653.0,183.0,26.602608,0.0,14614,181,85
0,3.0,55.0,887.0,1046.0,1736735.0,157.0,23.667227,0.0,15293,251,30
0,3.0,73.0,1101.0,1095.0,2165306.0,148.0,22.955372,0.0,15714,223,66
0,3.0,57.0,1034.0,1040.0,2116327.0,154.0,23.380253,0.0,15448,189,101
0,3.0,71.0,1052.0,850.0,2128571.0,182.0,23.096256,0.0,15200,158,126
0,3.0,59.0,930.0,1070.0,2251020.0,140.0,22.949923,0.0,15187,199,84
0,3.0,66.0,1126.0,948.0,2238776.0,149.0,23.521704,0.0,15493,232,60
0,4.0,69.0,1077.0,966.0,1859184.0,155.0,22.951942,0.0,15423,246,45
0,4.0,53.0,936.0,1113.0,2177551.0,146.0,23.519375,0.0,15465,185,108
0,4.0,71.0,856.0,923.0,1700000.0,184.0,23.236328,0.0,15442,186,85
0,4.0,60.0,917.0,985.0,2189796.0,161.0,23.235985,0.0,15594,242,61
0,4.0,70.0,1107.0,936.0,2214286.0,142.0,22.663792,0.0,15945,222,60
0,4.0,63.0,911.0,942.0,2287755.0,168.0,24.092123,0.0,15174,223,60
0,4.0,62.0,985.0,1119.0,2030612.0,141.0,22.807495,0.0,15704,225,62
0,4.0,64.0,1119.0,1132.0,1981633.0,156.0,23.095694,0.0,15451,212,74
0,4.0,57.0,954.0,1126.0,2006122.0,169.0,24.234943,0.0,15478,187,96
0,4.0,56.0,850.0,899.0,2055102.0,143.0,23.522493,0.0,15465,181,98
0,4.0,66.0,1132.0,856.0,1908163.0,167.0,23.802408,0.0,15492,170,108
0,4.0,65.0,862.0,1028.0,2104082.0,145.0,23.38162,0.0,15426,218,56
0,4.0,61.0,1138.0,972.0,1895918.0,175.0,21.114853,0.15,14469,155,115
0,4.0,60.0,868.0,1144.0,2091837.0,153.0,22.771706,0.09,14485,213,40
0,4.0,70.0,1150.0,1101.0,1944898.0,177.0,23.239012,0.0,15471,185,84
0,4.0,69.0,1046.0,874.0,1993878.0,151.0,22.950932,0.0,15268,186,95
0,4.0,62.0,881.0,868.0,2018367.0,164.0,23.233757,0.0,15413,199,68
0,4.0,64.0,1015.0,881.0,1969388.0,179.0,23.805365,0.0,15185,227,56
0,4.0,63.0,1089.0,1058.0,1712245.0,152.0,23.237415,0.0,15551,190,97
0,4.0,56.0,893.0,1064.0,1785714.0,178.0,23.805634,0.0,15229,234,62
0,4.0,66.0,1083.0,1015.0,1810204.0,159.0,23.090174,0.0,15216,214,68
0,4.0,55.0,1144.0,1077.0,2300000.0,136.0,23.523067,0.0,15505,236,48
0,4.0,73.0,1064.0,887.0,1822449.0,174.0,23.23647,0.0,15480,230,54
0,4.0,57.0,923.0,1034.0,2140816.0,165.0,23.519234,0.0,15519,243,45
0,5.0,60.0,874.0,1052.0,1761224.0,171.0,23.523046,0.0,15419,221,48
0,5.0,67.0,1070.0,930.0,1748980.0,180.0,23.378578,0.0,15475,217,62
0,5.0,55.0,948.0,1150.0,1871429.0,138.0,23.094484,0.0,15282,195,81
0,5.0,69.0,966.0,960.0,1883673.0,166.0,23.093233,0.0,15549,252,40
0,5.0,53.0,899.0,905.0,1834694.0,172.0,24.234486,0.0,15311,225,76
0,5.0,71.0,1113.0,954.0,2263265.0,163.0,22.949965,0.0,15616,190,106
0,5.0,54.0,1003.0,1021.0,2067347.0,137.0,23.235844,0.0,15769,220,76
0,5.0,67.0,960.0,997.0,1724490.0,162.0,23.092848,0.0,15795,249,47
0,5.0,68.0,979.0,1107.0,1920408.0,139.0,22.666523,0.0,15737,220,68
0,5.0,62.0,972.0,1083.0,2226531.0,147.0,23.23857,0.0,15459,190,94
0,5.0,61.0,1058.0,1009.0,2153061.0,176.0,23.666954,0.0,15496,190,96
0,5.0,72.0,905.0,1089.0,1957143.0,160.0,22.94921,0.0,15776,195,97
0,5.0,68.0,991.0,1138.0,2202041.0,170.0,23.377136,0.0,15408,255,30
